Kar,Ev,Tipus,Ossz_Jel,Elso_Jel,Nappali_Jel,Allami_Jel,Ossz_Felv,Nappali_Felv,Allami_Felv
BTK,2015,P,85,85,47,0,46,25,0
BTK,2015,A,5713,1781,4028,5365,1332,857,1185
BTK,2014,P,94,94,48,0,61,34,0
BTK,2014,A,4386,1314,2803,4117,1240,749,1123
BTK,2013,P,93,93,77,0,62,50,0
BTK,2013,A,3149,907,2111,2855,882,609,782
BTK,2012,P,132,132,91,0,103,76,0
BTK,2012,A,4440,1195,3078,3856,1031,627,693
BTK,2011,P,113,113,51,0,99,45,0
BTK,2011,A,3846,1192,3004,3378,1081,732,647
BTK,2010,P,110,110,62,0,71,38,0
BTK,2010,A,3752,1117,3054,3395,1013,744,628
BTK,2009,P,136,136,99,0,109,84,0
BTK,2009,A,3278,926,2594,2895,961,699,627
BTK,2008,P,92,92,64,0,79,61,0
BTK,2008,A,2704,668,2452,2345,707,606,411
BTK,2007,A,3115,832,2838,2654,752,635,443
BTK,2006,A,4531,1283,4057,3977,977,761,542
BTK,2005,A,4175,1594,3460,3647,1009,644,618
BTK,2004,A,3698,1641,2793,3208,909,565,632
BTK,2003,A,2417,1045,2121,2026,533,346,323
BTK,2002,A,2481,986,2258,2178,681,533,491
BTK,2001,A,1703,699,1544,1449,565,458,435
ITK,2015,P,9,9,8,0,6,6,0
ITK,2015,A,816,266,760,800,180,165,175
ITK,2014,P,5,5,4,0,4,4,0
ITK,2014,A,705,235,645,697,180,161,177
ITK,2013,P,2,2,2,0,0,0,0
ITK,2013,A,654,196,620,640,141,133,139
ITK,2012,P,11,11,11,0,11,11,0
ITK,2012,A,819,235,763,810,191,169,191
ITK,2011,A,820,229,788,812,175,156,172
ITK,2010,P,2,2,2,0,2,2,0
ITK,2010,A,699,211,665,689,222,209,220
ITK,2009,P,5,5,5,0,5,5,0
ITK,2009,A,646,212,637,632,203,199,197
ITK,2008,A,674,206,665,665,163,162,160
ITK,2007,A,562,136,562,555,159,159,158
ITK,2006,A,498,136,497,496,142,141,141
ITK,2005,A,436,185,433,432,155,154,154
ITK,2004,A,310,131,309,309,122,122,122
ITK,2003,A,355,172,349,349,123,119,119
ITK,2002,A,229,90,229,224,82,82,81
ITK,2001,A,289,129,289,287,87,87,85
JAK,2015,P,211,211,93,0,132,46,0
JAK,2015,A,2440,1083,1526,1564,812,437,74
JAK,2014,P,171,171,83,0,124,60,0
JAK,2014,A,2466,1029,1430,1412,816,457,56
JAK,2013,P,151,151,83,0,131,76,0
JAK,2013,A,2282,805,1455,1279,758,477,29
JAK,2012,A,2900,978,1732,1455,1003,548,112
JAK,2011,A,3327,1301,1905,2550,1075,519,333
JAK,2010,A,3531,1313,2101,2929,903,468,324
JAK,2009,A,3527,1245,2233,2954,901,420,409
JAK,2008,A,2286,781,1353,1811,768,358,361
JAK,2007,A,1927,735,1129,1409,751,315,284
JAK,2006,A,2543,983,1642,2028,753,280,355
JAK,2005,A,3761,1437,2430,3080,772,291,363
JAK,2004,A,2994,1236,1786,2154,806,311,404
JAK,2003,A,2690,1090,1527,1867,842,310,359
JAK,2002,A,3255,1838,1906,2570,795,323,484
JAK,2001,A,4032,2312,2342,3223,813,307,390
VJK,2013,A,418,107,288,392,83,63,80
VJK,2012,P,29,29,9,0,22,5,0
VJK,2012,A,955,254,466,827,206,100,152
VJK,2011,P,52,52,11,0,46,11,0
VJK,2011,A,962,296,586,838,221,108,101
VJK,2010,P,70,70,23,0,60,21,0
VJK,2010,A,866,230,427,773,193,99,102
VJK,2009,P,78,78,20,0,74,20,0
VJK,2009,A,765,234,361,684,211,97,110
VJK,2008,P,52,52,14,0,49,13,0
VJK,2008,A,549,145,258,470,180,73,85
