Ev,Kar,Max_pontszam,Min_pontszam,Max_pont
2015,BTK,468,280,500
2014,BTK,465,265,500
2013,BTK,465,256,500
2012,BTK,438,362,480
2011,BTK,433,367,480
2010,BTK,446,353,480
2009,BTK,440,318,480
2008,BTK,455,214,480
2007,BTK,138,119,144
2006,BTK,139,108,144
2005,BTK,140,94,126
2004,BTK,122,77,126
2003,BTK,116,73,126
2002,BTK,120,74,126
2001,BTK,121,60,126
2015,ITK,398,347,500
2014,ITK,395,326,500
2013,ITK,380,312,500
2012,ITK,394,311,480
2011,ITK,396,312,480
2010,ITK,400,302,480
2009,ITK,412,330,480
2008,ITK,412,320,480
2007,ITK,106,106,144
2006,ITK,110,110,144
2005,ITK,114,114,126
2004,ITK,100,100,126
2003,ITK,100,100,126
2002,ITK,100,100,126
2001,ITK,101,101,126
2015,JAK,460,424,500
2014,JAK,464,424,500
2013,JAK,464,424,500
2012,JAK,455,455,480
2011,JAK,436,419,480
2010,JAK,423,417,480
2009,JAK,411,396,480
2008,JAK,384,384,480
2007,JAK,126,126,144
2006,JAK,130,130,144
2005,JAK,128,128,126
2004,JAK,86,86,126
2003,JAK,82,82,126
2002,JAK,104,104,126
2001,JAK,102,102,126
2013,VJK,300,240,500
2012,VJK,342,261,480
2011,VJK,398,290,480
2010,VJK,401,278,480
2009,VJK,409,238,480
2008,VJK,403,273,480
